2019-05-07 14:30:08.399 [main] INFO  com.real.o2o.SpringbootO2oApplication - Starting SpringbootO2oApplication on DESKTOP-ICPJR1S with PID 5240 (C:\Users\84428\IdeaProjects\springboot-o2o\target\classes started by 84428 in C:\Users\84428\IdeaProjects\springboot-o2o)
2019-05-07 14:30:08.414 [main] INFO  com.real.o2o.SpringbootO2oApplication - No active profile set, falling back to default profiles: default
2019-05-07 14:30:12.724 [schedulerFactory_Worker-1] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:12.750 [main] INFO  com.real.o2o.SpringbootO2oApplication - Started SpringbootO2oApplication in 5.12 seconds (JVM running for 6.246)
2019-05-07 14:30:15.003 [schedulerFactory_Worker-2] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:18.001 [schedulerFactory_Worker-3] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:21.003 [schedulerFactory_Worker-4] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:24.001 [schedulerFactory_Worker-5] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:27.002 [schedulerFactory_Worker-6] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:30.002 [schedulerFactory_Worker-7] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:33.002 [schedulerFactory_Worker-8] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:36.001 [schedulerFactory_Worker-9] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:39.002 [schedulerFactory_Worker-10] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:42.002 [schedulerFactory_Worker-1] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:45.001 [schedulerFactory_Worker-2] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:48.001 [schedulerFactory_Worker-3] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:30:51.002 [schedulerFactory_Worker-4] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:31:49.594 [main] INFO  com.real.o2o.SpringbootO2oApplication - Starting SpringbootO2oApplication on DESKTOP-ICPJR1S with PID 13408 (C:\Users\84428\IdeaProjects\springboot-o2o\target\classes started by 84428 in C:\Users\84428\IdeaProjects\springboot-o2o)
2019-05-07 14:31:49.597 [main] INFO  com.real.o2o.SpringbootO2oApplication - No active profile set, falling back to default profiles: default
2019-05-07 14:31:52.305 [schedulerFactory_Worker-1] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:31:52.326 [main] INFO  com.real.o2o.SpringbootO2oApplication - Started SpringbootO2oApplication in 3.178 seconds (JVM running for 4.008)
2019-05-07 14:31:54.008 [schedulerFactory_Worker-2] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:31:57.001 [schedulerFactory_Worker-3] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:32:00.004 [schedulerFactory_Worker-4] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:32:03.002 [schedulerFactory_Worker-5] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:32:06.001 [schedulerFactory_Worker-6] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
2019-05-07 14:32:09.001 [schedulerFactory_Worker-7] INFO  c.r.o2o.service.impl.ProductSellDailyServiceImpl - Quartz Running...
